typecode,categorie
737,avion_ligne
A109,helicoptere
A119,helicoptere
A124,avion_ligne
A139,helicoptere
A149,helicoptere
A169,helicoptere
A189,helicoptere
A19N,avion_ligne
A20N,avion_ligne
A21N,avion_ligne
A306,avion_ligne
A310,avion_ligne
A318,avion_ligne
A319,avion_ligne
A320,avion_ligne
A321,avion_ligne
A332,avion_ligne
A333,avion_ligne
A337,avion_ligne
A338,avion_ligne
A339,avion_ligne
A343,avion_ligne
A346,avion_ligne
A359,avion_ligne
A35K,avion_ligne
A388,avion_ligne
A3ST,avion_ligne
A400,avion_ligne
A600,helicoptere
AA5,petit_avion
AAT3,petit_avion
ALO2,helicoptere
ALO3,helicoptere
AN26,avion_ligne
ANST,helicoptere
AP32,petit_avion
AS32,helicoptere
AS3B,helicoptere
AS50,helicoptere
AS55,helicoptere
AS65,helicoptere
AT43,avion_ligne
AT45,avion_ligne
AT72,avion_ligne
AT73,avion_ligne
AT75,avion_ligne
AT76,avion_ligne
B06,helicoptere
B105,helicoptere
B212,helicoptere
B214,helicoptere
B222,helicoptere
B230,helicoptere
B305,helicoptere
B350,jet_affaire
B36T,petit_avion
B37M,avion_ligne
B38M,avion_ligne
B39M,avion_ligne
B3XM,avion_ligne
B407,helicoptere
B412,helicoptere
B427,helicoptere
B429,helicoptere
B430,helicoptere
B47G,helicoptere
B47J,helicoptere
B505,helicoptere
B525,helicoptere
B712,avion_ligne
B733,avion_ligne
B734,avion_ligne
B735,avion_ligne
B736,avion_ligne
B737,avion_ligne
B738,avion_ligne
B739,avion_ligne
B744,avion_ligne
B748,avion_ligne
B752,avion_ligne
B753,avion_ligne
B762,avion_ligne
B763,avion_ligne
B764,avion_ligne
B772,avion_ligne
B773,avion_ligne
B77L,avion_ligne
B77W,avion_ligne
B788,avion_ligne
B789,avion_ligne
B78X,avion_ligne
BABY,helicoptere
BCS1,avion_ligne
BCS3,avion_ligne
BE10,jet_affaire
BE20,jet_affaire
BE23,petit_avion
BE30,avion_ligne
BE33,petit_avion
BE35,petit_avion
BE40,jet_affaire
BE58,petit_avion
BE65,petit_avion
BE95,petit_avion
BE9L,jet_affaire
BK17,helicoptere
BRB2,helicoptere
BSTP,helicoptere
C130,avion_ligne
C150,petit_avion
C152,petit_avion
C17,avion_ligne
C172,petit_avion
C182,petit_avion
C208,petit_avion
C25A,jet_affaire
C25B,jet_affaire
C25C,jet_affaire
C25M,jet_affaire
C295,avion_ligne
C30J,avion_ligne
C340,petit_avion
C404,petit_avion
C42,petit_avion
C425,jet_affaire
C441,jet_affaire
C510,jet_affaire
C525,jet_affaire
C550,jet_affaire
C551,jet_affaire
C55B,jet_affaire
C560,jet_affaire
C56X,jet_affaire
C650,jet_affaire
C680,jet_affaire
C68A,jet_affaire
C700,jet_affaire
C72R,petit_avion
C750,jet_affaire
C82S,petit_avion
C82T,petit_avion
CH7,helicoptere
CL30,jet_affaire
CL35,jet_affaire
CL60,jet_affaire
CLON,petit_avion
COMU,helicoptere
CRJ2,avion_ligne
CRJ7,avion_ligne
CRJ9,avion_ligne
CRJX,avion_ligne
D228,avion_ligne
D328,avion_ligne
DA40,petit_avion
DA42,petit_avion
DA62,petit_avion
DH8A,avion_ligne
DH8B,avion_ligne
DH8C,avion_ligne
DH8D,avion_ligne
DHC2,petit_avion
DHC6,petit_avion
DJIN,helicoptere
DR40,petit_avion
DRAG,helicoptere
DV20,petit_avion
DYH2,helicoptere
E120,avion_ligne
E135,avion_ligne
E145,avion_ligne
E170,avion_ligne
E190,avion_ligne
E195,avion_ligne
E290,avion_ligne
E295,avion_ligne
E35L,jet_affaire
E45X,avion_ligne
E50P,jet_affaire
E545,jet_affaire
E550,jet_affaire
E55P,jet_affaire
E75L,avion_ligne
E75S,avion_ligne
EA50,jet_affaire
EC20,helicoptere
EC25,helicoptere
EC30,helicoptere
EC35,helicoptere
EC45,helicoptere
EC55,helicoptere
EC75,helicoptere
EFOX,petit_avion
EH10,helicoptere
